CL_CD,RACE_YEAR,RACE_MT,RACE_DAY,TITLE_NM,DETAIL_CN
"1","2025","11","22","제46회차 02일째",
"1","2025","11","23","제46회차 03일째",
"1","2025","11","28","제47회차 01일째",
"1","2025","11","29","제47회차 02일째",
"1","2025","11","30","제47회차 03일째",
"1","2025","12","05","제48회차 01일째",
"1","2025","12","06","제48회차 02일째",
"1","2025","12","07","제48회차 03일째",
"1","2025","12","12","제49회차 01일째",
"1","2025","12","13","제49회차 02일째",
"1","2025","12","14","제49회차 03일째",
"1","2025","12","19","제50회차 01일째",
"1","2025","12","20","제50회차 02일째",
"1","2025","12","21","제50회차 03일째",
"1","2020","08","14","제33회차 1일째",
"1","2020","08","15","제33회차 2일째",
"1","2020","08","16","제33회차 3일째",
"1","2020","08","21","제34회차 1일째",
"1","2020","08","22","제34회차 2일째",
"1","2020","08","23","제34회차 3일째",
"1","2020","08","28","제35회차 1일째",
"1","2020","08","29","제35회차 2일째",
"1","2020","08","30","제35회차 3일째",
"1","2020","09","04","제36회차 1일째",
"1","2020","09","05","제36회차 2일째",
"1","2020","09","06","제36회차 3일째",
"1","2020","09","11","제37회차 1일째",
"1","2020","09","12","제37회차 2일째",
"1","2020","09","13","제37회차 3일째",
"1","2020","09","18","제38회차 1일째",
"1","2020","09","19","제38회차 2일째",
"1","2020","09","20","제38회차 3일째",
"1","2020","09","25","제39회차 1일째",
"1","2020","09","26","제39회차 2일째",
"1","2020","09","27","제39회차 3일째",
"1","2020","10","09","제40회차 01일째",
"1","2020","10","10","제40회차 02일째",
"1","2020","10","11","제40회차 03일째",
"1","2020","10","16","제41회차 01일째",
"1","2020","10","17","제41회차 2일째",
"1","2020","10","18","제41회차 3일째",
"1","2020","10","23","제42회차 1일째",
"1","2020","10","24","제42회차 2일째",
"1","2020","10","25","제42회차 3일째",
"1","2020","11","06","제44회차 1일째",
"1","2020","11","07","제44회차 2일째",
"1","2020","11","08","제44회차 3일째",
"1","2020","11","13","제45회차 1일째",
"1","2020","11","14","제45회차 2일째",
"1","2020","11","15","제45회차 3일째",
"1","2020","11","20","제46회차 1일째",
"1","2020","11","21","제46회차 2일째",
"1","2020","11","22","제46회차 3일째",
"1","2020","11","27","제47회차 1일째",
"1","2020","11","28","제47회차 2일째",
"1","2020","11","29","제47회차 3일째",
"1","2020","12","11","제49회차 1일째",
"1","2020","12","12","제49회차 2일째",
"1","2020","12","13","제49회차 3일째",
"1","2020","12","18","제50회차 1일째",
"1","2020","12","19","제50회차 2일째",
"1","2020","12","20","제50회차 3일째",
"1","2021","02","26","제09회차 1일째",
"1","2021","02","27","제09회차 2일째",
"1","2021","02","28","제09회차 3일째",
"1","2021","04","16","제16회차 1일째",
"1","2021","04","17","제16회차 2일째",
"1","2021","04","18","제16회차 3일째",
"1","2022","01","07","제01회차 01일째",
"1","2022","01","08","제01회차 02일째",
"1","2022","01","14","제02회차 01일째",
"1","2022","01","16","제02회차 03일째",
"1","2022","01","21","제03회차 01일째",
"1","2022","01","22","제03회차 02일째",
"1","2022","01","28","제04회차 01일째",
"1","2022","02","05","제05회차 02일째",
"1","2022","02","06","제05회차 03일째",
"1","2022","02","11","제06회차 01일째",
"1","2022","02","13","제06회차 03일째",
"1","2022","02","18","제07회차 01일째",
"1","2022","02","19","제07회차 02일째",
"1","2022","02","20","제07회차 03일째",
"1","2022","03","05","제09회차 02일째",
"1","2022","03","11","제10회차 01일째",
"1","2022","03","12","제10회차 02일째",
"1","2022","03","18","제11회차 01일째",
"1","2022","03","19","제11회차 02일째",
"1","2022","03","20","제11회차 03일째",
"1","2022","03","25","제12회차 01일째",
"1","2022","04","01","제13회차 01일째",
"1","2022","04","02","제13회차 02일째",
"1","2022","04","08","제14회차 01일째",
"1","2022","04","10","제14회차 03일째",
"1","2022","04","15","제15회차 01일째",
"1","2022","04","16","제15회차 02일째",
"1","2022","04","17","제15회차 03일째",
"1","2022","04","30","제17회차 02일째",
"1","2022","05","01","제17회차 03일째",
"1","2022","05","06","제18회차 01일째",
"1","2022","05","07","제18회차 02일째",
"1","2022","05","13","제19회차 01일째",
"1","2022","05","14","제19회차 02일째",
"1","2022","05","20","제20회차 01일째",
"1","2022","05","22","제20회차 03일째",
"1","2022","05","27","제21회차 01일째",
"1","2022","06","03","제22회차 01일째",
"1","2022","06","04","제22회차 02일째",
"1","2022","06","10","제23회차 01일째",
"1","2022","06","12","제23회차 03일째",
"1","2022","06","18","제24회차 02일째",
"1","2022","07","01","제26회차 01일째",
"1","2022","07","08","제27회차 01일째",
"1","2022","07","10","제27회차 03일째",
"1","2022","07","15","제28회차 01일째",
"1","2019","12","22","제50회차 03일째",
"1","2019","12","20","제50회차 01일째",
"1","2019","12","21","제50회차 02일째",
"1","2020","02","23","제08회차 03일째",
"1","2020","12","04","?48?? 1??",
"1","2020","12","05","?48?? 2??",
"1","2020","12","06","?48?? 3??",
"1","2020","12","25","?51?? 1??",
"1","2020","12","26","?51?? 2??",
"1","2020","12","27","?51?? 3??",
"1","2021","05","08","제19회차 2일째",
"1","2021","05","09","제19회차 3일째",
"1","2021","05","14","제20회차 1일째",
"1","2021","05","15","제20회차 2일째",
"1","2021","05","16","제20회차 3일째",
"1","2021","05","21","제21회차 1일째",
"1","2021","05","22","제21회차 2일째",
"1","2021","05","23","제21회차 3일째",
"1","2021","05","28","제22회차 1일째",
"1","2021","05","29","제22회차 2일째",
"1","2021","05","30","제22회차 3일째",
"1","2021","06","04","제23회차 1일째",
"1","2021","06","05","제23회차 2일째",
"1","2021","06","06","제23회차 3일째",
"1","2021","06","11","제24회차 1일째",
"1","2021","06","12","제24회차 2일째",
"1","2021","06","13","제24회차 3일째",
"1","2021","06","18","제25회차 1일째",
"1","2021","06","19","제25회차 2일째",
"1","2021","06","20","제25회차 3일째",
"1","2021","07","02","제27회차 1일째",
"1","2021","07","03","제27회차 2일째",
"1","2021","07","04","제27회차 3일째",
"1","2021","07","09","제28회차 1일째",
"1","2021","07","10","제28회차 2일째",
"1","2021","07","25","제30회차 3일째",
"1","2021","07","30","제31회차 1일째",
"1","2021","07","31","제31회차 2일째",
"1","2021","08","01","제31회차 3일째",
"1","2021","08","13","제33회차 1일째",
"1","2021","08","14","제33회차 2일째",
"1","2021","08","15","제33회차 3일째",
"1","2021","08","20","제34회차 1일째",
"1","2021","08","21","제34회차 2일째",
"1","2021","08","22","제34회차 3일째",
"1","2021","08","27","제35회차 1일째",
"1","2021","08","28","제35회차 2일째",
"1","2021","08","29","제35회차 3일째",
"1","2021","09","03","제36회차 1일째",
"1","2021","09","04","제36회차 2일째",
"1","2021","09","05","제36회차 3일째",
"1","2021","09","10","제37회차 1일째",
"1","2021","09","11","제37회차 2일째",
"1","2021","09","12","제37회차 3일째",
"1","2021","09","17","제38회차 1일째",
"1","2021","09","18","제38회차 2일째",
"1","2021","09","19","제38회차 3일째",
"1","2021","09","24","제39회차 1일째",
"1","2021","09","25","제39회차 2일째",
"1","2021","09","26","제39회차 3일째",
"1","2021","10","01","제40회차 1일째",
"1","2021","10","02","제40회차 2일째",
"1","2021","10","03","제40회차 3일째",
"1","2021","10","08","제41회차 1일째",
"1","2021","10","09","제41회차 2일째",
"1","2021","10","10","제41회차 3일째",
"1","2021","10","15","제42회차 1일째",
"1","2021","10","16","제42회차 2일째",
"1","2021","10","17","제42회차 3일째",
"1","2021","10","22","제43회차 1일째",
"1","2021","10","23","제43회차 2일째",
"1","2021","10","24","제43회차 3일째",
"1","2021","07","11","제28회차 3일째",
"1","2021","07","16","제29회차 1일째",
"1","2021","07","17","제29회차 2일째",
"1","2021","07","18","제29회차 3일째",
"1","2021","07","23","제30회차 1일째",
"1","2021","07","24","제30회차 2일째",
"1","2021","11","05","제45회차 1일째",
"1","2021","11","06","제45회차 2일째",
"1","2021","11","07","제45회차 3일째",
"1","2021","11","12","제46회차 1일째",
"1","2021","11","13","제46회차 2일째",
"1","2021","11","14","제46회차 3일째",
"1","2021","11","19","제47회차 1일째",
"1","2021","11","20","제47회차 2일째",
"1","2021","11","21","제47회차 3일째",
"1","2021","11","26","제48회차 1일째",
"1","2021","11","27","제48회차 2일째",
"1","2021","11","28","제48회차 3일째",
"1","2021","12","10","제50회차 1일째",
"1","2021","12","11","제50회차 2일째",
"1","2021","12","12","제50회차 3일째",
"1","2021","12","17","제51회차 1일째",
"1","2021","12","18","제51회차 2일째",
"1","2021","12","19","제51회차 3일째",
"1","2021","03","07","제10회차 3일째",
"1","2021","03","12","제11회차 1일째",
"1","2021","03","13","제11회차 2일째",
"1","2021","03","14","제11회차 3일째",
"1","2021","03","19","제12회차 1일째",
"1","2021","03","20","제12회차 2일째",
"1","2021","03","21","제12회차 3일째",
"1","2021","03","26","제13회차 1일째",
"1","2021","03","27","제13회차 2일째",
"1","2021","03","28","제13회차 3일째",
"1","2021","04","02","제14회차 1일째",
"1","2021","04","03","제14회차 2일째",
"1","2021","04","04","제14회차 3일째",
"1","2021","04","09","제15회차 1일째",
"1","2020","10","30","?43?? 01??","43?? 1??"
"1","2020","10","31","?43?? 02??",
"1","2020","11","01","?43?? 03??",
"1","2021","04","10","제15회차 2일째",
"1","2021","04","11","제15회차 3일째",
"1","2021","04","23","제17회차 1일째",
"1","2021","04","24","제17회차 2일째",
"1","2021","04","25","제17회차 3일째",
"1","2021","04","30","제18회차 1일째",
"1","2021","05","01","제18회차 2일째",
"1","2021","01","22","제04회차 1일째",
"1","2021","01","23","제04회차 2일째",
"1","2021","01","24","제04회차 3일째",
"1","2021","01","29","제05회차 1일째",
"1","2021","01","30","제05회차 2일째",
"1","2021","01","31","제05회차 3일째",
"1","2021","02","05","제06회차 1일째",
"1","2021","02","06","제06회차 2일째",
"1","2021","02","07","제06회차 3일째",
"1","2021","02","13","제07회차 2일째",
"1","2021","02","14","제07회차 3일째",
"1","2021","02","19","제08회차 1일째",
"1","2021","02","20","제08회차 2일째",
"1","2021","02","21","제08회차 3일째",
"1","2021","03","05","제10회차 1일째",
"1","2021","03","06","제10회차 2일째",
"1","2021","05","02","제18회차 3일째",
"1","2021","05","07","제19회차 1일째",
"1","2021","06","25","제26회차 1일째",
"1","2021","06","26","제26회차 2일째",
"1","2021","06","27","제26회차 3일째",
"1","2022","07","17","제28회차 03일째",
"1","2022","07","23","제29회차 02일째",
"1","2022","07","24","제29회차 03일째",
"1","2022","07","29","제30회차 01일째",
"1","2022","07","30","제30회차 02일째",
"1","2022","08","19","제33회차 01일째",
"1","2022","08","20","제33회차 02일째",
"1","2022","08","21","제33회차 03일째",
"1","2022","08","26","제34회차 01일째",
"1","2022","08","27","제34회차 02일째",
"1","2022","08","28","제34회차 03일째",
"1","2022","09","02","제35회차 01일째",
"1","2022","09","03","제35회차 02일째",
"1","2022","09","04","제35회차 03일째",
"1","2022","09","16","제37회차 01일째",
"1","2022","09","17","제37회차 02일째",
"1","2022","09","18","제37회차 03일째",
"1","2022","09","24","제38회차 02일째",
"1","2022","09","25","제38회차 03일째",
"1","2022","10","07","제40회차 01일째",
"1","2022","10","08","제40회차 02일째",
"1","2022","10","09","제40회차 03일째",
"1","2022","10","14","제41회차 01일째",
"1","2022","10","15","제41회차 02일째",
"1","2022","10","16","제41회차 03일째",
"1","2022","10","21","제42회차 01일째",
"1","2022","10","23","제42회차 03일째",
"1","2022","11","04","제44회차 01일째",
"1","2022","11","05","제44회차 02일째",
"1","2022","11","06","제44회차 03일째",
"1","2022","11","11","제45회차 01일째",
"1","2022","11","12","제45회차 02일째",
"1","2022","11","13","제45회차 03일째",
"1","2022","11","18","제46회차 01일째",
"1","2022","11","20","제46회차 03일째",
"1","2022","11","25","제47회차 01일째",
"1","2022","11","26","제47회차 02일째",
"1","2022","12","09","제49회차 01일째",
"1","2022","12","10","제49회차 02일째",
"1","2022","12","11","제49회차 03일째",
"1","2022","12","16","제50회차 01일째",
"1","2022","12","17","제50회차 02일째",
"1","2022","12","18","제50회차 03일째",
"1","2022","01","09","제01회차 03일째",
"1","2022","01","29","제04회차 02일째",
"1","2022","01","30","제04회차 03일째",
"1","2022","02","12","제06회차 02일째",
"1","2022","03","04","제09회차 01일째",
"1","2022","03","06","제09회차 03일째",
"1","2022","03","13","제10회차 03일째",
"1","2022","03","26","제12회차 02일째",
"1","2022","03","27","제12회차 03일째",
"1","2022","04","03","제13회차 03일째",
"1","2022","04","09","제14회차 02일째",
"1","2022","04","29","제17회차 01일째",
"1","2022","05","08","제18회차 03일째",
"1","2022","05","15","제19회차 03일째",
"1","2022","05","21","제20회차 02일째",
"1","2022","05","28","제21회차 02일째",
"1","2022","05","29","제21회차 03일째",
"1","2022","06","05","제22회차 03일째",
"1","2022","06","11","제23회차 02일째",
"1","2019","01","20","제03회차 03일째",
"1","2019","02","03","제05회차 03일째",
"1","2019","02","15","제07회차 02일째",
"1","2019","03","10","제10회차 03일째",
"1","2019","03","22","제12회차 01일째",
"1","2019","03","30","제13회차 02일째",
"1","2019","04","06","제14회차 02일째",
"1","2019","05","18","제20회차 02일째",
"1","2019","05","19","제20회차 03일째",
"1","2019","06","14","제24회차 01일째",
"1","2019","06","15","제24회차 02일째",
"1","2019","07","12","제28회차 01일째",
"1","2019","07","13","제28회차 02일째",
"1","2019","07","19","제29회차 01일째",
"1","2019","08","30","제35회차 01일째",
"1","2019","08","31","제35회차 02일째",
"1","2019","09","06","제36회차 01일째",
"1","2019","10","04","제39회차 01일째",
"1","2019","10","05","제39회차 02일째",
"1","2019","10","26","제42회차 02일째",
"1","2019","11","08","제44회차 01일째",
"1","2019","11","29","제47회차 01일째",
"1","2019","12","07","제48회차 02일째",
"1","2019","12","08","제48회차 03일째",
"1","2019","12","15","제49회차 03일째",
"1","2019","01","04","제01회차 01일째",
"1","2019","01","19","제03회차 02일째",
"1","2019","01","25","제04회차 01일째",
"1","2019","02","17","제07회차 04일째",
"1","2019","03","24","제12회차 03일째",
"1","2019","03","29","제13회차 01일째",
"1","2019","04","12","제15회차 01일째",
"1","2019","05","17","제20회차 01일째",
"1","2019","08","10","제32회차 02일째",
"1","2019","08","11","제32회차 03일째",
"1","2019","09","27","제38회차 01일째",
"1","2019","10","12","제40회차 02일째",
"1","2019","11","24","제46회차 03일째",
"1","2019","02","02","제05회차 02일째",
"1","2019","03","09","제10회차 02일째",
"1","2019","06","09","제23회차 03일째",
"1","2019","07","07","제27회차 03일째",
"1","2019","08","04","제31회차 03일째",
"1","2019","08","18","제33회차 03일째",
"1","2019","12","06","제48회차 01일째",
"1","2019","01","18","제03회차 01일째",
"1","2019","01","27","제04회차 03일째",
"1","2019","02","23","제08회차 02일째",
"1","2019","04","14","제15회차 03일째",
"1","2019","05","04","제18회차 02일째",
"1","2019","05","12","제19회차 03일째",
"1","2019","05","31","제22회차 01일째",
"1","2019","06","07","제23회차 01일째",
"1","2019","06","16","제24회차 03일째",
"1","2019","06","23","제25회차 03일째",
"1","2019","07","20","제29회차 02일째",
"1","2019","07","28","제30회차 03일째",
"1","2019","09","07","제36회차 02일째",
"1","2019","09","22","제37회차 03일째",
"1","2019","09","28","제38회차 02일째",
"1","2019","10","20","제41회차 03일째",
"1","2019","10","27","제42회차 03일째",
"1","2019","11","16","제45회차 02일째",
"1","2019","11","30","제47회차 02일째",
"1","2019","01","11","제02회차 01일째",
"1","2019","02","01","제05회차 01일째",
"1","2019","02","24","제08회차 03일째",
"1","2019","03","08","제10회차 01일째",
"1","2019","03","16","제11회차 02일째",
"1","2019","03","31","제13회차 03일째",
"1","2019","04","19","제16회차 01일째",
"1","2019","05","05","제18회차 03일째",
"1","2019","05","24","제21회차 01일째",
"1","2019","05","25","제21회차 02일째",
"1","2019","07","06","제27회차 02일째",
"1","2019","07","21","제29회차 03일째",
"1","2019","07","26","제30회차 01일째",
"1","2019","08","03","제31회차 02일째",
"1","2019","08","17","제33회차 02일째",
"1","2019","09","08","제36회차 03일째",
"1","2019","09","20","제37회차 01일째",
"1","2019","10","13","제40회차 03일째",
"1","2019","12","01","제47회차 03일째",
"1","2020","01","10","제02회차 1일째",
"1","2019","02","04","제05회차 04일째",
"1","2019","06","02","제22회차 03일째",
"1","2019","07","14","제28회차 03일째",
"1","2019","09","01","제35회차 03일째",
"1","2019","10","11","제40회차 01일째",
