BASE_YEAR,PLAYER_NO,PLAYER_NM,PLAYER_GRAD_NM,PRACE_TME_CO,PRACE_DE_CO,N1R_NCNT,N1R_VICTRY_RT,N2R_NCNT,YUNDAE_RT,N3R_NCNT,THREE_YUNDAE_RT,N4R_NCNT,N5R_NCNT,N6R_NCNT,N7R_NCNT,N8R_NCNT,N9R_NCNT,DSQLFC_CO,FELOFF_ABANDN_VALUE,DEFECT_ABANDN_VALUE,PN_AFLTION_NM,PRECDNG_N1CK_NCNT,OVRTK_N1CK_NCNT,EXCD_N1CK_NCNT,DEFNS_N1CK_NCNT,WARN_NCNT,ATENT_NCNT,EVL_SCORE,GEAR_MULTIP_VALUE,TOT_RANK_CO
"1998","19980001","서동방",,"8","23","6","26","8","61","3","0","2","1","2","1","0","0","0","0","0","5/1",,,,,,,,,
"1998","19980046","이동기",,"5","14","1","7","2","21","3","0","3","2","3","0","0","0","0","0","0","5/1",,,,,,,,,
"1998","19970002","주광일",,"16","47","18","38","7","53","6","0","2","4","7","3","0","0","0","0","0","4/1",,,,,,,,,
"1998","19980035","임  섭",,"14","17","1","6","0","6","3","0","3","6","2","2","0","0","0","0","0","5/1",,,,,,,,,
"1998","19960024","용석길",,"13","37","19","51","10","78","5","0","2","1","0","0","0","0","0","0","0","3/1",,,,,,,,,
"1998","19950008","박재청",,"16","44","2","5","5","16","9","0","7","8","7","4","0","0","2","0","0","2/1",,,,,,,,,
"1998","19980044","주효진",,"6","18","4","22","3","39","3","0","3","2","1","1","0","0","1","0","0","5/1",,,,,,,,,
"1998","19960041","임병창",,"18","52","6","12","5","21","7","0","7","7","11","9","0","0","0","0","0","3/1",,,,,,,,,
"1998","19970010","남태희",,"18","51","6","12","7","25","4","0","9","13","4","8","0","0","0","0","0","4/1",,,,,,,,,
"1998","19950029","임권빈",,"17","50","14","28","9","46","7","0","2","3","10","4","0","0","1","1","0","2/1",,,,,,,,,
"1998","19970020","배학성",,"17","49","4","8","13","35","4","0","7","3","8","9","0","0","0","1","0","4/1",,,,,,,,,
"1998","19980022","김경태",,"7","20","4","20","4","40","2","0","8","0","1","1","0","0","0","0","0","5/1",,,,,,,,,
"1998","19940102","신우삼",,"14","42","9","21","10","45","6","0","2","5","5","3","0","0","1","2","0","1/3",,,,,,,,,
